"","Store","Week","F1","D1","PR1","P1","F2","D2","PR2","P2","F3","D3","PR3","P3","F4","D4","PR4","P4","F5","D5","PR5","P5","F6","D6","PR6","P6","F7","D7","PR7","P7","F8","D8","PR8","P8","F9","D9","PR9","P9","F10","D10","PR10","P10","F11","D11","PR11","P11","F12","D12","PR12","P12","F13","D13","PR13","P13","F14","D14","PR14","P14","F15","D15","PR15","P15","F16","D16","PR16","P16","F17","D17","PR17","P17","F18","D18","PR18","P18","F19","D19","PR19","P19","F20","D20","PR20","P20","F21","D21","PR21","P21","F22","D22","PR22","P22","F23","D23","PR23","P23","F24","D24","PR24","P24","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11","Y12","Y13","Y14","Y15","Y16","Y17","Y18","Y19","Y20","Y21","Y22","Y23","Y24","Random","SoupSeasonality","YogurtSeasonality","BeerSeasonality"
"278",232633,1114,0.565620721,0.71509663,0.674419633,3.594763718,0,0,0.08315745,32.39974673,0.402274308,0.38045693,0.505514349,3.586486787,0.306702229,0.144269554,0.464852165,2.919474345,0,0,0.004651163,2.714651163,0.396433471,0,0.43861454,0.280979081,0,0,0.329899141,1.041958868,0.393529604,0.216997374,0.591169783,3.032308054,0.263281041,0.023853053,0.727070265,2.787612591,0.532938648,0.236924469,0.549341981,2.19644783,0.355655764,0.291030642,0.609709196,0.849872578,0.64871591,0.474508313,0.65009851,0.838292489,0,0,0,1.663104436,0.634517766,0.634517766,0.653912065,0.870361764,0.58974159,0.540529389,0.651944006,1.501005094,0,0,0,2.094887024,0,0,0.015340889,3.515974349,0.726540415,0.171932332,0.850204594,1.206200671,0.799235941,0.40318644,0.822184247,0.917136149,0,0,0.577373575,0.569623126,0.174692976,0.134124465,0.451221195,0.402861874,0,0,0.048580507,8.824693266,0.479409021,0,0.640195724,1.40848771,0.233323834,0.273203162,0.331534121,15.47329859,3674.6838,236.9,657.4484,2678.1465,215,5832,1015.28,1639.065,1508.4736,662.975,4595.736,1808.1875,424.4532,1007.064,1274.8058,341.5936,158.8891,5207.0689,2469.5461,572.87,7247,84.9106,1313.075,420.0171,"Test","2","1","0"
"49",232633,1115,0.523705455,0.714970161,0.589933801,3.589033052,0,0,0.081280788,32.7283955,0.088095537,0,0.196610444,4.321352413,0.357151191,0.210312322,0.520001571,2.812499229,0.467605634,0,0.498591549,2.352422535,0.426736719,0,0.643023935,0.260729714,0,0,0.194135802,1.102102623,0.310133648,0.136986669,0.688522047,2.929560024,0.289817545,0.018666865,0.699782408,2.675556257,0.668243081,0.253526985,0.6952688,2.015732572,0.464014203,0.088981175,0.745629064,0.843570492,0,0.078830678,0.511742486,0.953535884,0,0,0.00895996,1.64686051,0,0,0.003008681,1.175536127,0.311686009,0.160434409,0.680345025,1.762305569,0.547909428,0,0.547909428,1.660533174,0.275805927,0.012186547,0.341959377,3.451656578,0.600102055,0.445046834,0.749677624,1.109968791,0.633523305,0.593987644,0.780076642,0.939837466,0,0.068108982,0.498134664,0.572688792,0.58663261,0.309067688,0.688165177,0.371166454,0.484483147,0.200877988,0.658635291,7.747755998,0.166936823,0,0.590357397,1.543362062,0.082032761,0.07189388,0.391729291,15.90318438,4457.5098,284.2,457.5998,2917.6008,355,6852,1036.8,1884.2454,1852.6839,777.0376,4144.135,1522.25,502.2344,643.97,1025.5032,571.2623,164.1154,6356.1697,2373.2827,505.807,9396,115.7419,1264.7,542.4662,"Train","2","1","1"
"18",232633,1116,0.499391466,0.681166905,0.685568563,3.183855697,0,0,0.089665106,32.55016205,0.060541606,0,0.143266396,4.180901647,0.453355242,0.481112098,0.622872551,2.630155586,0,0,0.063348416,2.671447964,0,0,0.338487254,0.29062056,0.397667145,0,0.695662739,0.937281001,0.363514172,0.141577301,0.732561101,2.713043867,0.361885428,0.051917385,0.628340582,2.752072119,0.422082484,0.272078971,0.422082484,2.364462868,0.134440784,0.170067592,0.619608508,0.884482076,0.19062457,0,0.191999267,1.103870229,0,0,0.02079122,1.680074351,0.282083107,0.282083107,0.336309371,1.058837407,0.431159205,0.413695296,0.780276774,1.505337043,0,0,0,2.089567393,0.253964289,0,0.343966931,3.02322543,0.556903835,0.358759249,0.672445363,1.17581417,0.478039356,0.513511973,0.773513677,0.923712778,0,0.032306194,0.427521638,0.577569962,0.168983374,0,0.745707277,0.399198692,0.080882684,0.056329012,0.322740398,8.390423028,0.288393829,0,0.636322899,1.425869022,0.296926198,0.31071534,0.50137156,15.31913039,5175.7999,277.7,540.9503,3412.973,221,4786,1275.69,1834.0765,1797.0859,711.65,3905.065,1363.9375,486.9844,818.9076,1270.0478,348.6559,173.7449,5228.913,1945.1934,555.621,7338,86.5451,1562.1,543.9062,"Train","2","1","1"
"240",232633,1117,0.582239505,0.736952513,0.777993254,3.35753848,0,0,0.085037326,32.65365141,0.596178265,0.479988795,0.780174027,3.284100975,0.447551279,0.230667979,0.589109693,2.779576282,0,0,0,2.699045226,0,0,0,0.314878049,0.222834628,0,0.694467655,0.888916145,0.310534232,0.066641131,0.725686151,2.934854649,0.732980316,0.203826446,0.862661015,2.282653829,0.677097657,0.349903135,0.694141649,2.114427549,0.442147292,0.084895508,0.583778474,0.840971027,0.237416351,0,0.283636061,1.154229187,0.037692136,0.452305628,0.728871673,1.375989104,0.666048959,0,0.727776121,0.874817553,0.333383888,0.271136101,0.638209162,1.675095861,0,0,0.357456297,2.020066675,0,0,0.24927639,3.478374067,0.318321174,0.061374679,0.36744672,1.402548304,0.28274965,0.235144015,0.714316892,1.071203481,0,0.032830298,0,0.591054197,0.309133489,0.220387033,0.76728707,0.418740293,0,0,0.206289499,8.638189517,0.524756746,0,0.751154356,1.335218649,0.47260889,0.462691851,0.570539651,15.27256238,5954.5051,308.1,880.3018,3152.3114,199,5576,1304.51,1674.778,3039.322,997.4189,4092.531,1503.6875,795.922,1261.6002,859.7896,455.9998,150.5646,3546.9937,1841.9563,551.32,8113,84.5918,1564.725,806.6924,"Train","1","1","1"
"215",232633,1118,0.336870665,0.656440316,0.50492494,3.764615854,0,0,0.081151832,32.56230366,0.484866871,0.368218944,0.726466902,3.556857152,0.422154043,0.357200855,0.617505335,2.801998616,0.47826087,0,0.593167702,2.277546584,0,0,0,0.316625263,0,0,0.23662793,1.035509611,0.210861515,0.09086895,0.540547711,3.019177939,0.155388403,0.121622329,0.646148212,2.958473516,0.613421863,0.454856586,0.625444504,2.064180598,0.13318939,0,0.555164604,0.892534661,0,0,0.277265022,1.159472594,0.629134264,0.513792982,0.772819355,1.204792116,0,0,0.202690787,1.105859558,0.582052834,0.387321252,0.695381388,1.465764171,0.430140883,0,0.633215258,1.859492444,0.314885114,0,0.51504424,3.466321683,0.404519556,0.241077008,0.623833677,1.197080625,0.3498593,0.353045445,0.739051227,1.076135961,0,0.038101269,0.248093197,0.592553029,0.615097856,0.458527493,0.823485555,0.348463187,0.496195542,0,0.517915995,7.571556826,0.28271854,0,0.452277766,1.599185157,0.212732616,0.21220605,0.221052146,15.97112228,3811.3663,267.4,636.0053,2987.4069,322,4750,1005.08,1462.1331,1311.2066,748.5876,3378.6475,1327.25,762.9532,654.9385,1161.5784,489.6605,204.9954,4268.0918,1824.3048,574.784,10730,103.589,1251.775,474.7744,"Train","1","1","0"
"285",232633,1119,0.485297336,0.709264139,0.611686743,3.424421635,0,0,0.088545898,32.59411048,0.406356908,0,0.693425274,3.477895311,0.315216937,0.066679986,0.510213431,2.965455992,0,0,0.293103448,2.550862069,0.449252137,0,0.600961538,0.259130609,0.434807267,0,0.434807267,0.966623816,0.421370744,0.188366896,0.71305101,2.782889143,0.618123573,0.286006565,0.779675961,2.415415884,0.45350422,0.154234092,0.512602849,2.528674833,0.428600643,0.318342662,0.681287933,0.844782103,0.329228775,0.098509397,0.503492475,1.010107295,0,0.291841262,0.087503081,1.566181908,0,0,0.428203432,1.091070967,0.520861807,0.520861807,0.685783378,1.382686601,0,0,0.134004425,2.035947724,0,0,0.277758285,3.150582419,0.28938466,0.155492767,0.478474398,1.306142926,0.336983363,0.317063164,0.525856359,1.116918169,0,0,0.2191834,0.56061231,0.520690372,0.447286338,0.828238719,0.341500312,0.055038096,0,0.111974503,8.674261638,0.53637934,0.111570706,0.711184012,1.451420783,0.254865958,0.375155316,0.412177523,15.44843504,4531.4747,246.2,623.2275,2582.1931,232,7488,1057.94,2099.6237,2176.8301,562.6188,3926.5865,1735.875,507.125,695.9309,1140.6634,445.8808,163.027,3444.8374,1694.2602,535.807,9618,77.2792,1577.475,542.442,"Test","1","1","1"
"89",232633,1120,0.513508413,0.77188976,0.481676507,3.623866717,0,0,0.011131725,32.63109462,0.507620088,0,0.745332823,3.555398612,0.403598748,0.297276447,0.53634476,2.824825922,0,0,0.240310078,2.458410853,0.592933492,0,0.622030879,0.259501188,0,0,0.536850094,1.060683876,0.449494233,0.187675097,0.703462338,2.968109926,0.37468923,0.111736105,0.680542632,2.744822291,0.615305897,0.546520633,0.615305897,1.803009182,0.065263022,0,0.502691448,0.911505096,0.520494837,0.218799563,0.668699115,0.948761146,0,0.490183168,0.544825787,1.456356139,0.013082265,0,0.339515929,1.084507321,0.370345472,0.633056493,0.766919798,1.33192445,0.494439633,0,0.496318203,1.893298024,0,0,0.105677104,3.263959295,0.369541145,0.335489481,0.566368326,1.244558802,0.741794777,0.298811813,0.848196372,0.922948974,0,0,0.092529374,0.57369403,0.496384298,0.335743802,0.782024793,0.359500258,0,0.08441228,0.310804772,8.087813598,0.507556374,0.170087437,0.591127474,1.570054303,0.292410152,0.192268756,0.456542891,15.5990536,4431.8269,269.5,617.3485,2847.6622,258,6736,961.87,1750.9931,1834.4357,903.9,3375.878,1773.3125,546.7344,802.6133,1292.3706,499.0498,153.7703,3642.9938,2338.4283,503.84,7744,80.557,1358.125,624.9783,"Train","1","1","1"
"177",232633,1121,0.573530522,0.717529418,0.47826382,3.615291189,0,0.007371913,0.003685957,32.39332842,0.520403338,0,0.654755177,3.276229699,0.402330685,0.39876487,0.507009625,2.835689379,0,0,0.004854369,2.830291262,0.495117748,0,0.567489948,0.266000862,0.310613717,0,0.869709136,0.955651779,0.374043174,0.113174717,0.679197981,3.118394209,0.542922516,0.26843573,0.839185381,2.298659306,0.650546187,0.636526418,0.682343601,2.080776532,0.149278392,0,0.519621302,0.837846509,0.272367118,0.160448993,0.35193133,1.113317927,0.495466744,0.484868525,0.500434659,1.462461505,0.290581542,0.20869214,0.748862202,0.821883078,0.316231687,0.254284787,0.827661965,1.659357335,0.388634277,0,0.388634277,1.805586628,0,0,0.092238099,3.346367116,0.348535722,0.223948961,0.442005106,1.326590744,0.634485832,0.312350432,0.757060545,0.976681466,0,0.050434616,0.222466329,0.615555449,0.130639731,0,0.423232323,0.4265,0.216887919,0.042063111,0.437063069,7.932577039,0.013195575,0,0.498717877,1.6046119,0.309030799,0.23209308,0.516993019,15.73093905,4596.1526,271.3,605.1804,3250.7016,206,6964,1078.51,1757.738,1980.7285,864.8502,3750.9615,1514.5,754.8438,1291.3759,885.3066,486.3184,144.5986,3453.273,2275.143,418.76,5940,95.0952,1335.675,680.3529,"Train","1","1","1"
"120",232633,1122,0.525889669,0.653784238,0.675953085,3.426591125,0,0,0,32.71878602,0.009983055,0,0.286326789,4.018978186,0.366711503,0.284626409,0.499570536,2.83053652,0,0,0,2.88527897,0,0,0.013344454,0.312954545,0,0,0.615672856,0.96231881,0.443109376,0.115185237,0.736659743,2.781762481,0.506760541,0.346450367,0.790540077,2.664965227,0.671215524,0.39439742,0.668912305,2.154661139,0.216759668,0.198395329,0.551757632,0.800676751,0.341588288,0.238847183,0.632812725,0.931996433,0,0,0.007420596,1.708423053,0.014304776,0,0.288519457,1.073557576,0.461763372,0.506545803,0.849179346,1.499506996,0,0,0.424840374,1.987567061,0.071023963,0,0.132381697,3.630196792,0.048651887,0.059401987,0.129685249,1.500670381,0.481706307,0.625216608,0.712873461,0.969576074,0,0.138963041,0.18411851,0.531751701,0,0.499204698,0.609323382,0.363410009,0,0.06540865,0.399795111,8.142766443,0.315552897,0,0.327152774,1.542645859,0.46077789,0.571272695,0.676530841,14.65023208,5092.2358,260.3,500.8487,3051.7112,233,4796,952.73,1943.9618,2025.4223,868.35,4135.052,2172.9375,421.1252,786.4506,1111.552,455.6123,149.6861,2782.5231,2136.1707,531.94,8173,85.9978,1379.325,746.5636,"Train","1","1","1"
"153",232633,1123,0.469027329,0.724007556,0.626273506,3.423973773,0,0,0.003979308,32.46128134,0.387483558,0,0.574746165,3.47964785,0.421430934,0.394566171,0.581976529,2.631300081,0.113360324,0,0.133603239,2.73048583,0.526315789,0,0.589539887,0.263596491,0.326403421,0,0.486851283,0.945910446,0.371695154,0.127840916,0.734834395,2.904623325,0.229900531,0.150753363,0.618915007,2.640428854,0.538144699,0.162428367,0.560709169,2.353796562,0.352162895,0.341695793,0.426794557,0.827687015,0.10610325,0.240582951,0.541774299,0.989530015,0,0,0.075278616,1.606106902,0.716883896,0.716883896,0.798743299,0.831356777,0.517534911,0.206870924,0.807830807,1.526717485,0.065828858,0,0.407191384,1.987951723,0.051858391,0,0.113672011,3.589803159,0.433909404,0,0.530525453,1.245900368,0.359182422,0.232250252,0.479193227,1.28369871,0,0.15275844,0.342621558,0.53630002,0.407737338,0.235174345,0.608806312,0.388059303,0.275666798,0.070084779,0.496293683,8.095609656,0.281721182,0,0.613980423,1.471789883,0.201408616,0.318803645,0.606952147,15.29060015,4289.4283,251.3,656.1641,3349.0897,247,6042,1103.91,1799.4106,1709.3549,698,4084.225,1621.0625,531.3594,1487.6886,1057.0456,501.2999,150.6545,3398.8111,1544.1318,553.03,7858,85.6106,1644.8,731.1008,"Train","1","1","1"
